8h 3s Kd 3h 8s 2d Td, 8h 3s Kd 3h 8s 9d 5c, [Kh 7s Jd 7h Ks 6d Qd], [Kh 7s Jd 7h Ks 5d 4c]
Qh 6d 9h 3c Jd Ks 6h, Qh 6d 9h 3c Jd 7s 8s, [Ah 3d 5h 7c Td Js 3h], [Ah 3d 5h 7c Td 2s Ks]
5c Tc 4c Qs 5s Qd 9d, 5c Tc 4c Qs 5s Ts As, [4c Qc 9c As 4s Ad 5d], [4c Qc 9c As 4s Qs 8s]
Qs 8h 4s 2h 7d 6h 6s, Qs 8h 4s 2h 7d Ac Jd, [As Kh 9s 6h 2d 3h 3s], [As Kh 9s 6h 2d 8c Td]
As Ah 8h 4s 3h 8c Ts, As Ah 8h 4s 3h 2h Qs, [8s 8h Kh 9s 7h Kc Qs], [8s 8h Kh 9s 7h 6h As]
2h 7c 5c Qd 5d 6c 8s, 2h 7c 5c Qd 5d 3d Kd, [6h 2c 4c Ad 4d 3c Ks], [6h 2c 4c Ad 4d 7d Jd]
8h 2c 5c 5s Qc Jh 8c, 8h 2c 5c 5s Qc 9h 9d, [Kh 6c 4c 4s Ac Th Kc], [Kh 6c 4c 4s Ac 5h 5d]
Ah 3c 3d 8c Ac Qd 7c, Ah 3c 3d 8c Ac 9d 2d, [8h 7c 7d Kc 8c Ad 2c], [8h 7c 7d Kc 8c 5d 6d]
2c Js Ad 6c Ts 4s Jh, 2c Js Ad 6c Ts 2h Kh, [6c Ts 8d 3c Qs 9s Th], [6c Ts 8d 3c Qs 6h Jh]
4c 8s 6s 8h 6d 6h 5s, 4c 8s 6s 8h 6d 6c Jh, [9c Ks 3s Kh 3d 3h 4s], [9c Ks 3s Kh 3d 3c Th]
Jc 3c 8d 8h 5d 6c 6s, Jc 3c 8d 8h 5d Kd Th, [Tc 7c Kd Kh 4d 3c 3s], [Tc 7c Kd Kh 4d Jd Qh]
8d Kc 6c 4s Ah Qs As, 8d Kc 6c 4s Ah Ad 2d, [Kd Jc 3c 9s 8h As 8s], [Kd Jc 3c 9s 8h 8d 6d]
8h Kd Ad 9c 2d Jh 2c, 8h Kd Ad 9c 2d 5h Qd, [Kh Jd 8d 5c 6d Th 6c], [Kh Jd 8d 5c 6d 4h Ad]
Jh 9h 8c 3h 7d 4d Kc, Jh 9h 8c 3h 7d 2d Ad, [Th 5h Kc 7h 2d 9d Jc], [Th 5h Kc 7h 2d 6d 8d]
 2 3 4 5 6 7 8 9 T J Q K A 
[6 7 9 4 3 2 K 5 Q T A J 8]
